"t_s","lp_x_units","displacement_units","disp_fixed_units"
2.0468227424749164,-0.8445637583892618,0.0012520951222108306,0.0066456203735164145
2.060200668896321,-0.832751677852349,0.001377945221782876,0.007168602864689886
2.0735785953177257,-0.8209395973154363,0.0014570955373125081,0.007525002706405786
2.0869565217391304,-0.8091275167785235,0.0014693337347998492,0.0076703512726124705
2.100334448160535,-0.7973154362416107,0.0014509650630942935,0.007681703952197024
2.1137123745819397,-0.785503355704698,0.0014085815752515303,0.007605426727526082
2.1270903010033444,-0.7736912751677852,0.0013121296437463752,0.007356456380619489
2.140468227424749,-0.7618791946308725,0.0011784606096606621,0.006874865061725488
2.1538461538461537,-0.7500671140939598,0.0010773969513597666,0.006243398457201247
2.1672240802675584,-0.738255033557047,0.0010109863724580836,0.005559066751881188
2.180602006688963,-0.7264429530201343,0.0009995564972598687,0.004796910756751037
2.1939799331103678,-0.7146308724832215,0.0009705725154847668,0.0039031464550174787
2.2073578595317724,-0.7028187919463088,0.0009743345991496667,0.0029343293935522197
2.220735785953177,-0.6910067114093961,0.0010749961076806566,0.001967032151015544
2.234113712374582,-0.6791946308724832,0.0011701799638791385,0.0010268466669195323
2.2474916387959865,-0.6673825503355704,0.0012500158692597223,0.00012062276916717593
2.260869565217391,-0.6555704697986576,0.0013598882838702154,-0.0007253272820259553
2.274247491638796,-0.643758389261745,0.0013483262158726697,-0.0014970593999467645
2.2876254180602005,-0.6319463087248323,0.0013402890506022482,-0.002191134206827027
2.301003344481605,-0.6201342281879194,0.001345995493449697,-0.0027649647675485733
2.31438127090301,-0.6083221476510067,0.00130298617611724,-0.0031808424939170597
2.3277591973244145,-0.5965100671140939,0.0012502148792762826,-0.0034578093892533314
2.3411371237458196,-0.5846979865771812,0.0012537658398866268,-0.003618042403423629
2.3545150501672243,-0.5728859060402685,0.001332689673857587,-0.0036419851204301844
2.367892976588629,-0.5610738255033557,0.0015124661714061018,-0.0035269140603048556
2.3812709030100336,-0.549261744966443,0.001780342848642035,-0.003313313266994948
2.3946488294314383,-0.5374496644295301,0.00210158714626379,-0.0030145686287695976
2.408026755852843,-0.5256375838926174,0.002506035801677646,-0.002610049794851386
2.4214046822742477,-0.5138255033557046,0.0029776435225494524,-0.0021268681641910146
2.4347826086956523,-0.5020134228187919,0.003404647815089604,-0.0016375780934996971
2.448160535117057,-0.49020134228187917,0.0038063664228932055,-0.0011588214098223971
2.4615384615384617,-0.47838926174496643,0.004086293331841997,-0.0006439331016104632
2.4749163879598663,-0.4665771812080537,0.004208419705618723,-0.00009016701849593123
2.488294314381271,-0.45476510067114095,0.004192455654653686,0.0004365214530600378
2.5016722408026757,-0.4429530201342282,0.003968089200897651,0.0008949019115417749
2.5150501672240804,-0.4311409395973155,0.0035283619129760652,0.0013040939085177312
2.528428093645485,-0.41932885906040274,0.002874582977061882,0.001680686912111749
2.5418060200668897,-0.40751677852349,0.002071757426615268,0.0020158401105097147
2.5551839464882944,-0.39570469798657715,0.0010912506501549177,0.002311528954132309
2.568561872909699,-0.3838926174496644,0.000028535940974882523,0.0025673986345886653
2.5819397993311037,-0.37208053691275167,-0.0009545149359262267,0.002744419305090392
2.5953177257525084,-0.36026845637583893,-0.0019776733391448083,0.002815652778604263
2.608695652173913,-0.3484563758389262,-0.0028543421400943534,0.002832423356448133
2.6220735785953178,-0.33664429530201345,-0.0035180320549531687,0.002858086901924176
2.6354515050167224,-0.3248322147651007,-0.004008679963146984,0.0028598493026594737
2.648829431438127,-0.313020134228188,-0.004218118905824363,0.0027599145137959303
2.6622073578595318,-0.3012080536912752,-0.004159296732029374,0.002571839272400809
2.6755852842809364,-0.28939597315436244,-0.00398548472733882,0.002377020476397564
2.688963210702341,-0.2775838926174497,-0.003641259945931086,0.0021785479935743446
2.702341137123746,-0.26577181208053685,-0.003085039005766976,0.0019030004895742667
2.7157190635451505,-0.2539597315436241,-0.002432241831149143,0.001552818496432612
2.729096989966555,-0.2421476510067114,-0.001791569808346904,0.0012226204120562797
2.74247491638796,-0.2303355704697986,-0.0011216241041065304,0.0009352900813950334
2.7558528428093645,-0.21852348993288587,-0.000557823531926088,0.000595985081618491
2.769230769230769,-0.20671140939597313,-0.00006462996882442132,0.00016017853853727808
2.782608695652174,-0.1948993288590604,0.0003917499970938242,-0.0002769573499449727
2.7959866220735785,-0.1830872483221477,0.0006806361665966383,-0.0006249009012681459
2.809364548494983,-0.17127516778523497,0.000780807065512211,-0.0009231368227379218
2.822742474916388,-0.15946308724832217,0.0007425062308548926,-0.001251886835357397
2.8361204013377925,-0.14765100671140943,0.0005595125418964618,-0.0016090942833771426
2.849498327759197,-0.1358389261744967,0.0002996906647704734,-0.0019413723567268646
2.862876254180602,-0.12402684563758387,-0.00009469185194823798,-0.0022201796089637792
2.8762541806020065,-0.11221476510067113,-0.0005661119429647229,-0.0024366461103509157
2.8896321070234112,-0.10040268456375834,-0.00102917583178115,-0.0025903677068689524
2.903010033444816,-0.0885906040268456,-0.0015132211614315297,-0.00271397743492328
2.9163879598662206,-0.07677852348993286,-0.0019502421230250114,-0.0028380405541638567
2.9297658862876252,-0.06496644295302013,-0.0022985997972812906,-0.0029214454812538935
2.94314381270903,-0.053154362416107395,-0.002518523060181885,-0.00289822597130186
2.9565217391304346,-0.041342281879194656,-0.002658841895794035,-0.002791305208860736
2.9698996655518393,-0.029530201342281865,-0.002653778513667745,-0.0026856962622094425
2.983277591973244,-0.017718120805369126,-0.002565263050906864,-0.0025937659634063396
2.9966555183946486,-0.0059060402684563895,-0.002445017576504418,-0.002447777057473178
3.0100334448160537,0.005906040268456396,-0.002223953106323379,-0.0022236891168040743
3.0234113712374584,0.017718120805369133,-0.0019979928622156505,-0.0019747623432593005
3.036789297658863,0.02953020134228187,-0.001825034847128752,-0.0017437615785322086
3.0501672240802677,0.041342281879194656,-0.0016911490136398161,-0.0015275590288362864
3.0635451505016724,0.053154362416107395,-0.001589589492393479,-0.00131994639106377
3.076923076923077,0.06496644295302013,-0.0015807869974720909,-0.0011154616322670752
3.0903010033444818,0.07677852348993286,-0.0016301240334977507,-0.0008922476606431692
3.1036789297658864,0.0885906040268456,-0.0016981526643819699,-0.0006576249349625347
3.117056856187291,0.10040268456375834,-0.0018453926435968017,-0.00047598623142459457
3.130434782608696,0.11221476510067113,-0.0020193931927392976,-0.0003878394558730143
3.1438127090301005,0.12402684563758386,-0.002179358416883479,-0.00034513292030857474
3.157190635451505,0.13583892617449667,-0.002295213070918511,-0.0002896694107264152
3.17056856187291,0.14765100671140946,-0.00236754947044432,-0.00024702936042864034
3.1839464882943145,0.15946308724832212,-0.0024102460460530078,-0.0002793320928822753
3.197324414715719,0.17127516778523497,-0.0023635736950020888,-0.0003908341908930825
3.210702341137124,0.18308724832214765,-0.002193341817454539,-0.0005410097464547159
