"l","Cl_uK2","Dl_uK2","is_peak"
605,0.04228361070683228,2467.289986773396,0
606,0.04202344690604753,2460.2153209059434,0
607,0.041764243320507086,2453.109979946119,0
608,0.04150605718280928,2445.9776457065573,0
609,0.04124894487483744,2438.8219959140197,0
610,0.040992961907244635,2431.6467023487166,0
611,0.040738162899536544,2424.4554289912335,0
612,0.04048460156075747,2417.2518301780246,0
613,0.04023233067078392,2410.0395487664364,0
614,0.03998140206223033,2402.822214310236,0
615,0.03973186660297049,2395.603441246576,0
616,0.0394837741792789,2388.386827095368,0
617,0.03923717367959466,2381.1759506719727,0
618,0.03899211297891174,2373.974370314162,0
619,0.03874863892379738,2366.785622124246,0
620,0.038506797318041845,2359.6132182272936,0
621,0.0382666329089408,2352.4606450463266,0
622,0.03802818937421257,2345.331361595385,0
623,0.03779150930955119,2338.2287977913256,0
624,0.03755663421681665,2331.1563527852277,0
625,0.0373236044928627,2324.117393314237,0
626,0.03709245941900276,2317.1152520746905,0
627,0.03686323715111404,2310.153226117351,0
628,0.036635974710379424,2303.234575265531,0
629,0.03641070797466655,2296.362520556919,0
630,0.03618747167054323,2289.540242709872,0
631,0.03596629936592797,2282.770880614932,0
632,0.03574722346337388,2276.057529852311,0
633,0.03553027519398426,2269.403241236061,0
634,0.035315484611957555,2262.8110193856523,0
635,0.035102880589759286,2256.2838213256264,0
636,0.03489249081391807,2249.824555114019,0
637,0.03468434178144255,2243.4360785001836,0
638,0.03447845879685612,2237.121197612665,0
639,0.03427486596984533,2230.882665677731,0
640,0.034073586213518386,2224.7231817691563,0
641,0.033874641243269166,2218.6453895898403,0
642,0.03367805157624239,2212.651876285805,0
643,0.0334838365313949,2206.7451712931115,0
644,0.03329201423014833,2200.92774521822,0
645,0.033102601597627304,2195.2020087522683,0
646,0.032915614364477756,2189.570311619752,0
647,0.03273106706925977,2184.0349415620617,0
648,0.03254897306140815,2178.5981233562998,0
649,0.032369344504755,2173.2620178697857,0
650,0.03219219238160711,2168.0287211506397,0
651,0.032017526497371815,2162.9002635548136,0
652,0.03184535548572376,2157.8786089098994,0
653,0.03167568681430562,2152.965653716051,0
