"hilbert_index","col","row","temperature_uK","frequency_hz"
489,18,10,0.3025254982603163,782.3757718377749
490,18,9,1.0880672554898831,964.493228009207
491,17,9,-1.0002918497530457,552.9489667335572
492,17,10,-0.18348518059025787,687.3628496728645
493,17,11,0.17585356485758274,756.4147644210839
494,18,11,0.6674564907269318,862.2562146901215
495,18,12,0.6013463232841156,847.2033654026616
496,17,12,0.9236150214197647,923.1510526303575
497,17,13,1.2973648885912876,1019.7976695341531
498,17,14,1.6639049383468039,1124.4007234496848
499,18,14,1.1227017433227697,973.4333997991785
500,18,13,0.4226372542073229,807.8147980437305
501,19,13,0.7690443439770871,885.910010752387
502,20,13,0.9280973087759536,924.2540249713418
503,20,14,1.261754887785448,1010.1691280415199
504,19,14,1.7409416703862977,1147.7146722585273
505,19,15,2.1154843413481883,1268.1391303351838
506,20,15,1.7496217760084565,1150.3716872597558
507,20,16,0.3854209294254638,799.8453723965846
508,19,16,0.2917800268501122,780.1393575779196
509,18,16,-0.13362098076526807,696.5545420323737
510,18,15,1.7462573941812107,1149.3411072932183
511,17,15,0.25497616516596056,772.5278421048671
512,17,16,-0.3990075636032687,649.009489175347
513,17,17,-1.7297914268652157,455.28684228808993
514,17,18,0.7712643095078614,886.4340901748111
515,18,18,1.4908719351738744,1073.7469543560817
516,18,17,-1.6609695925570427,463.71109644859894
517,19,17,-0.5959958134414834,615.8293123416661
518,20,17,-1.0507502237103852,545.5659219220048
519,20,18,-0.055529787339088074,711.1970432098846
520,19,18,1.043543715783688,953.1209187123842
521,19,19,1.1742339943481177,986.8889864594712
522,20,19,0.5706752258941203,840.3092780900563
523,20,20,-0.32668079610293943,661.6357166217429
524,19,20,-0.04969780093444354,712.3028434949899
525,18,20,-0.1494395230473242,693.6254050523765
526,18,19,1.6043205661740947,1106.6937613859786
527,17,19,0.41161128408109965,805.4454776948335
528,17,20,0.2244466309139096,766.2703214837817
529,17,21,-0.4301421266310663,643.6487233063648
530,18,21,0.022024164745107072,726.0434299648267
531,18,22,-0.7713656973485146,587.7204714235133
532,17,22,-0.07871503521947854,706.8178510715677
533,17,23,-1.17094665188784,528.3734989576318
534,17,24,-1.3940866425563774,497.8800145480733
535,18,24,-0.05759291735370453,710.8062652706701
536,18,23,0.2799798592773428,777.6907974768161
537,19,23,0.23295325553625412,768.0087798628159
538,19,24,0.8590011021302859,907.3967464835429
539,20,24,2.196831275292416,1295.9205973696085
540,20,23,2.528943364273533,1415.8013671853603
541,20,22,0.6019428973784505,847.3380194509256
542,19,22,0.5346049417919879,832.2733388331146
543,19,21,-0.5198316153964238,628.4521633240244
544,20,21,-0.5250414004767161,627.5805506552211
545,21,21,0.9129205634705218,920.5247432626325
546,22,21,1.088306185716762,964.5546207384563
547,22,22,0.7116448599205679,872.4664524935749
548,21,22,0.41791338649022425,806.7988555263883
549,21,23,0.8981496370294368,916.909630430083
550,21,24,1.8725784279673685,1188.6766678118336
551,22,24,1.0104156199041485,944.7463521810973
